Internal Pressure [atm],PM Tension [10^2 N/m],PG Tension [10^2 N/m],Total Tension [10^2 N/m]
0.0,0.0019781732486314194,0.02234981233145323,0.04899426911042441
0.013377926421404682,0.0,0.0,0.014991576459257753
0.026755852842809364,0.01456037669610563,0.11190120072854906,0.05359831925844896
0.04013377926421405,0.024151827668387083,0.13717842859857277,0.10222057776401372
0.05351170568561873,0.0,0.15282922111123026,0.13573345051615587
0.06688963210702341,0.02638441019902745,0.16997109142751574,0.17706002359992254
0.0802675585284281,0.008140863073173358,0.22338393869859113,0.23840168103318535
0.09364548494983277,0.008419152290580854,0.2492412925186203,0.22162895513494463
0.10702341137123746,0.0023560694420134303,0.26966297538855744,0.3106174255605441
0.12040133779264214,0.04014585112431568,0.3055718950592598,0.34831956914113843
0.13377926421404682,0.013854843727270486,0.3569979129925562,0.38239890296603346
0.1471571906354515,0.0,0.3665622354139564,0.3696750858971574
0.1605351170568562,0.016229319438805675,0.40592489356966344,0.3889929034159576
0.17391304347826086,0.023150676590288334,0.4116813639471245,0.4942560050953092
0.18729096989966554,0.0,0.4971921233818812,0.47547413988823184
0.20066889632107024,0.007623308384396519,0.421754283095849,0.49800678470115345
0.2140468227424749,0.0,0.547527983037973,0.5103813051557101
0.22742474916387959,0.0,0.5928997617920645,0.6529056441700973
0.2408026755852843,0.08005186427326745,0.6046664412850927,0.6212049080346255
0.25418060200668896,0.009930987289374176,0.6001714842465387,0.645215021701258
0.26755852842809363,0.013392719426227308,0.6529552440478429,0.692778923497496
0.2809364548494983,0.00670942138322154,0.763900074874323,0.7783241748642376
0.294314381270903,0.014289456556857462,0.7712273159527695,0.7817098405515953
0.3076923076923077,0.007038040016683134,0.8130736703625763,0.7807991902695179
0.3210702341137124,0.012054202617364729,0.8655511649900438,0.8064469773984112
0.33444816053511706,0.03918136656992814,0.824255463752544,0.8467814030090255
0.34782608695652173,0.0,0.8571350599072122,0.9010491631388312
0.3612040133779264,0.07940603916900749,0.9404277158040645,0.9472707718510675
0.3745819397993311,0.031426735144603,0.9597771158799986,0.9607970409104015
0.3879598662207358,0.02141149263193761,0.9522854800561922,1.0316674409312732
0.4013377926421405,0.0,1.008174458241061,1.060355558468077
0.41471571906354515,0.05560202019446533,1.0587499166350312,1.1034652934358689
0.4280936454849498,0.0,1.102647088663471,1.1092325466439454
0.4414715719063545,0.021422377326093495,1.1229216347138928,1.1269536945742435
0.45484949832775917,0.0,1.1127356053930488,1.2011970278128692
0.46822742474916385,0.0,1.1559308166864142,1.2068074704758767
0.4816053511705686,0.020700106984425547,1.2111012510674557,1.2503485502381428
0.49498327759197325,0.0,1.2164806323997188,1.3303334725262546
0.5083612040133779,0.007944519859144884,1.28851186824959,1.3065345354456754
